ID,Name,PNR,OriginAirport,DestinationAirport,IATA,FlightNumber,FlightDate,CheckDate,IsSuccess,ErrorReason,Type
1441929,U*** M***,E3*****,ESB,SAW,PC,2285,226,2025-08-14 13:10:56,1,,DI
1497624,D*** L***,PM*****,IST,SAW,VF,3121,226,2025-08-14 13:13:23,1,,DD
1493353,J*** J***,ET*****,ESB,SAW,TK,4071,226,2025-08-14 13:13:26,1,,DI
1433788,Z*** D***,EV*****,DLM,AMS,VF,3121,226,2025-08-14 13:13:46,1,,DI
1448641,E*** K***,EW*****,DLM,ESB,ZF,4071,226,2025-08-14 13:13:53,1,,DI
1446604,I*** D***,PM*****,SAW,GYD,HV,3121,226,2025-08-14 13:13:59,1,,DD
1465978,N*** N***,PM*****,IST,ESB,VF,2555,226,2025-08-14 13:14:21,1,,DD
1444582,K*** I***,EY*****,SAW,IST,VF,2285,226,2025-08-14 13:14:26,1,,DD
1488338,Z*** E***,EW*****,ESB,ESB,TK,2285,226,2025-08-14 13:14:29,1,,DI
1480529,F*** F***,EV*****,ESB,AMS,VF,2555,226,2025-08-14 13:14:33,1,,DD
1493528,B*** O***,EW*****,SAW,AMS,TK,4071,226,2025-08-14 13:14:53,1,,DI
1448763,G*** V***,EW*****,DLM,ESB,J2,2555,226,2025-08-14 13:15:11,1,,DI
1400358,X*** Z***,EW*****,IST,AMS,J2,404,226,2025-08-14 13:15:13,1,,DI
1412462,P*** S***,E3*****,IST,GYD,TK,2285,226,2025-08-14 13:15:15,1,,DI
1482456,R*** G***,PM*****,ESB,AMS,ZF,2555,226,2025-08-14 13:15:36,1,,DI
1410122,T*** Y***,E3*****,SAW,GYD,HV,4071,226,2025-08-14 13:15:52,1,,DD
1405603,W*** P***,EW*****,ESB,ESB,J2,3121,226,2025-08-14 13:15:54,1,,DI
1468434,V*** N***,E3*****,ESB,ESB,J2,2555,226,2025-08-14 13:16:16,1,,DI
1460485,V*** A***,EV*****,DLM,ESB,J2,062,226,2025-08-14 13:16:26,1,,DD
1440977,O*** Y***,EY*****,ESB,SAW,HV,2285,226,2025-08-14 13:16:32,1,,DD
1470719,X*** F***,ET*****,ESB,IST,PC,4071,226,2025-08-14 13:16:36,1,,DI
1440610,V*** M***,E3*****,IST,IST,ZF,062,226,2025-08-14 13:17:07,1,,DD
1441929,X*** A***,EV*****,SAW,AMS,ZF,4071,226,2025-08-14 13:17:26,1,,DI
1422632,H*** N***,PM*****,IST,IST,VF,3121,226,2025-08-14 13:17:30,1,,DD
1446290,U*** I***,ET*****,SAW,IST,J2,404,226,2025-08-14 13:17:34,1,,DI
1405427,P*** H***,EY*****,ESB,ESB,PC,404,226,2025-08-14 13:17:38,1,,DI
1490906,O*** K***,ET*****,IST,SAW,TK,2285,226,2025-08-14 13:17:42,1,,DD
1499130,N*** C***,E3*****,IST,IST,J2,2555,226,2025-08-14 13:17:52,1,,DD
1452918,F*** T***,EY*****,ESB,SAW,TK,062,226,2025-08-14 13:18:07,1,,DI
1463681,A*** E***,EY*****,IST,AMS,J2,3121,226,2025-08-14 13:18:11,1,,DI
1422390,G*** T***,E3*****,DLM,SAW,TK,404,226,2025-08-14 13:18:19,1,,DD
